Candle Compra: 1440, Candle Venda: 1443, Horário Compra: 2024-01-02 00:00:00, Horário Venda: 2024-01-02 00:03:00, Preço Compra: 221951, Preço Venda: 221426, Percentual: -0.24%
Candle Compra: 1455, Candle Venda: 1461, Horário Compra: 2024-01-02 00:15:00, Horário Venda: 2024-01-02 00:21:00, Preço Compra: 221711, Preço Venda: 221349, Percentual: -0.16%
Candle Compra: 1463, Candle Venda: 1506, Horário Compra: 2024-01-02 00:23:00, Horário Venda: 2024-01-02 01:06:00, Preço Compra: 221790, Preço Venda: 221555, Percentual: -0.11%
Candle Compra: 1515, Candle Venda: 1519, Horário Compra: 2024-01-02 01:15:00, Horário Venda: 2024-01-02 01:19:00, Preço Compra: 221986, Preço Venda: 221555, Percentual: -0.19%
Candle Compra: 1525, Candle Venda: 1534, Horário Compra: 2024-01-02 01:25:00, Horário Venda: 2024-01-02 01:34:00, Preço Compra: 221750, Preço Venda: 221539, Percentual: -0.1%
Candle Compra: 1548, Candle Venda: 1560, Horário Compra: 2024-01-02 01:48:00, Horário Venda: 2024-01-02 02:00:00, Preço Compra: 221329, Preço Venda: 221017, Percentual: -0.14%
Candle Compra: 1566, Candle Venda: 1606, Horário Compra: 2024-01-02 02:06:00, Horário Venda: 2024-01-02 02:46:00, Preço Compra: 221110, Preço Venda: 221365, Percentual: 0.12%
Candle Compra: 1610, Candle Venda: 1612, Horário Compra: 2024-01-02 02:50:00, Horário Venda: 2024-01-02 02:52:00, Preço Compra: 221665, Preço Venda: 221333, Percentual: -0.15%
Candle Compra: 1626, Candle Venda: 1678, Horário Compra: 2024-01-02 03:06:00, Horário Venda: 2024-01-02 03:58:00, Preço Compra: 221145, Preço Venda: 221568, Percentual: 0.19%
Candle Compra: 1687, Candle Venda: 1712, Horário Compra: 2024-01-02 04:07:00, Horário Venda: 2024-01-02 04:32:00, Preço Compra: 221746, Preço Venda: 222109, Percentual: 0.16%
Candle Compra: 1723, Candle Venda: 1745, Horário Compra: 2024-01-02 04:43:00, Horário Venda: 2024-01-02 05:05:00, Preço Compra: 222887, Preço Venda: 222650, Percentual: -0.11%
